SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
APL-001-1256,"Front Screen Glass for iPhone 6 Plus Black",12.00,6.50,1.06,2.01,0.0000,2.75,9.99,1.20,5.99
APL-003-1450,"Vibrator Motor for iPhone 6 Plus",6.00,6.82,2.11,1.19,0.0000,1.99,7.99,1.20,1.99
APL-001-1240,"LCD and Touch Screen Digitizer Assembly for iPhone 6 White (Standard)",140.00,6.70,4.42,21.56,0.0000,,37.99,20.50,0.00
APL-001-1242,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus Black (Standard)",230.00,6.85,1.69,33.82,0.0000,,62.49,26.80,29.99
APL-001-1244,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus White (Standard)",230.00,6.85,1.69,33.82,0.0000,,62.49,26.80,0.00
APL-003-1444,"Charging Dock Port & Headphone Jack Flex Cable for iPhone 6 Plus Gray",20.00,6.70,2.27,3.32,0.0000,3.99,,,8.99
SRN-LGM-348,"LCD + Touch Screen Digitizer for LG Google Nexus 5 D820 D821 Black",65.00,6.82,12.50,11.36,0.0000,28.99,44.99,23.99,28.99
SRN-MOT-442,"LCD + Touch Screen Digitizer for Motorola Droid Mini XT1030 Black",100.00,6.70,3.35,15.43,0.0000,19.50,19.99,16.40,19.99
SRN-MOT-444,"LCD + Touch Screen Digitizer for Motorola Droid Mini XT1030 White",0.00,0.00,0.00,0.00,0.0000,19.50,,16.45,19.99
SRN-HTC-652,"LCD + Touch Screen Digitizer with Frame for HTC One M7 801e Black",145.00,6.85,3.32,21.65,0.0000,,29.99,22.95,25.99
SRN-HTC-654,"LCD + Touch Screen Digitizer with Frame for HTC One M7 801e Silver",150.00,6.46,4.29,23.88,0.0000,,29.99,22.95,
TAB-SRN-306,"Touch Screen Digitizer for Samsung Galaxy TAB 3 SM-T210R T210 Black",35.00,6.82,7.35,6.21,0.0000,12.10,0.00,12.99,
SRN-HTC-656,"LCD + Touch Screen Digitizer with Frame for HTC Droid DNA Black",150.00,6.70,8.75,23.69,0.0000,,,,32.99
SRN-HTC-658,"LCD + Touch Screen Digitizer with Frame for HTC One M8 831C",165.00,6.82,7.55,25.30,0.0000,45.00,0.00,29.48,36.99
FLX-SAM-1333,"Samsung Galaxy S6 G920V Charging Port Flex Cable",20.00,6.88,3.53,3.42,0.0000,6.19,9.99,5.00,6.99
