SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
BTY-COV-1511,"Motorola Droid Razr XT912 Rear Housing Frame",0,0,6.9500,2.89,3.09,0,2.89,2.94,0,0,0,0,2.89,2.94,0,2.89,2.94,0,2.89,2.99,0,2.89,2.94,0,0
APL-003-1514,"Motherboard Signal Cable and WiFi Cover for iPhone 6 Plus",8,1.65,3.3600,3.15,3.22,0,2.77,2.8,0,0,0,0,2.59,2.66,0,2.45,2.59,0,2.39,2.49,0,2.17,2.31,0,0
APL-001-2075,"LCD Touch Screen Digitizer Assembly for iPhone 5 Black - Grade C",0,15.73,18.4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-APL-2228,"Slim Armor Hybrid Protector Case for iPhone 6 - Mint Green",1,1,7.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-ZED-727,"Tempered Glass Screen Protector for iPod Touch 5",0,0,5.9500,0,0,0,4.89,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-003-1546,"iPhone 6  Plus LCD + Touch Screen Tester Flex Cable",18,3.19,6.7000,6.06,6.22,0,5.58,5.74,0,0,0,0,5.1,5.42,0,4.94,5.26,0,4.79,4.99,0,4.69,4.79,0,0
TAB-SRN-639,"Visual Land Prestige 7G Model ME-7G LCD Screen",0,0,9.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1276,"Samsung Galaxy A3 A3000 A300F Power On/Off Flex Cable",8,1.7,3.9100,3.655,3.74,0,3.23,3.315,0,0,0,0,3.145,3.23,0,2.975,3.06,0,2.89,2.89,0,2.669,2.72,0,0
TAB-SRN-596,"Samsung Galaxy Tab 2 7.0 P3113 P3110 P3100 Student Edition Digitizer With Speaker Hole - White",0,0,12.9500,12.69,12.89,0,12.56,12.76,0,0,0,0,12.56,12.76,0,12.56,12.76,0,12.59,12.79,0,12.56,12.76,0,0
TAB-SRN-587,"Digitizer Touch Screen for Samsung Galaxy Tab 3 10.1 P5200 Black - Grade A",0,8.63,14.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-003-1488,"iPhone 5 Home Button - Dark Blue",2,0.61,1.5250,1.3115,1.3725,0,1.22,1.281,0,0,0,0,1.1895,1.2505,0,1.159,1.22,0,1.19,1.19,0,1.0675,1.159,0,0
FLX-SAM-1284,"Samsung Galaxy A7 A7000 SM-A700F Buzzer Module",10,2.03,4.5675,4.1615,4.263,0,3.654,3.7555,0,0,0,0,3.248,3.451,0,3.1465,3.3495,0,3.09,3.19,0,2.9841,3.045,0,0
BTY-COV-1517,"Sony Xperia Z3 D6033 D6643 D6653 Back Glass Cover Black",12,2.29,7.1190,6.441,6.6105,0,5.9325,6.102,0,0,0,0,5.424,5.763,0,5.2545,5.5935,0,5.09,5.29,0,4.9833,5.085,0,0
FLX-HTC-575,"HTC One X Dock Connector",0,0,3.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-589,"Hisense Sero 7 Lite Tablet Model E270BSA LCD Screen - Grade A",0,0,19.2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2054,"LCD with Touch Screen Digitizer for IPad Air 2 White - Grade C",0,107.11,110.2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1259,"Samsung Galaxy Note 10.1 Tablet N8000 Power Volume Flex Cable REV 3.0",0,0,5.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-003-1539,"Home Button Metal Gasket for iPhone 6 Plus - Black",2,0.62,1.4000,1.204,1.26,0,1.12,1.176,0,0,0,0,1.092,1.148,0,1.064,1.12,0,1.09,1.09,0,0.98,1.064,0,0
FLX-SAM-1266,"Samsung Tab 10.1 N8000 OEM S Pen Stylus - Gray / Black - Grade A",0,3.21,5.7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-003-1483,"iPhone 4 Home Button - Orange",0,0,0.9500,0.5,0.53,0,0.5,0.53,0,0,0,0,0.54,0.53,0,0.54,0.53,0,0.59,0.59,0,0.54,0.53,0,0
APL-003-1481,"iPhone 4 Home Button - Mirror Red",0,0,0.9500,0.5,0.53,0,0.5,0.53,0,0,0,0,0.54,0.53,0,0.54,0.53,0,0.59,0.59,0,0.54,0.53,0,0
APL-003-1480,"iPhone 4 Home Button - Mirror Green",0,0,0.9500,0.5,0.53,0,0.5,0.53,0,0,0,0,0.54,0.53,0,0.54,0.53,0,0.59,0.59,0,0.54,0.53,0,0
SRN-SAM-1276,"LCD and Touch Screen Digitizer With Frame for Galaxy S6 Edge G925A G925T G925F - Black Sapphire",990,145.47,190.3600,187.37,188.12,0,182.89,183.64,0,0,0,0,179.91,180.65,0,179.16,179.91,0,176.99,177.69,0,176.17,176.92,0,0
APL-002-2059,"LCD Frame for iPhone 6 Plus - Black",6,1.24,2.8560,2.6775,2.737,0,2.3562,2.38,0,0,0,0,2.2015,2.261,0,2.0825,2.2015,0,1.99,2.09,0,1.8445,1.9635,0,0
APL-001-2053,"LCD with Touch Screen Digitizer for IPad Air 2 White - Grade B",0,107.11,110.4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-002-6365,"IPhone 6 Plus Front Middle Frame Bezel LCD Holder - Black",5,0.9,3.1900,2.99,3.06,0,2.63,2.66,0,0,0,0,2.46,2.53,0,2.33,2.46,0,2.49,2.39,0,2.33,2.19,0,0
APL-003-1479,"iPhone 4 4S Front Facing Camera Plastic Cap Ring",0,0,0.9500,0.95,0.98,0,0.95,0.98,0,0,0,0,0.99,0.98,0,0.99,0.98,0,0.99,0.99,0,0.99,0.98,0,0
FLX-SAM-1278,"Samsung Galaxy A5 A5000 Back Camera",65,11,17.6000,17.05,17.325,0,15.4,15.675,0,0,0,0,15.4,15.62,0,15.07,15.18,0,14.89,14.99,0,14.74,14.85,0,0
SRN-SAM-1270,"Galaxy S6 G920 G920F G920A G920T LCD + Touch Screen Digitizer - White",1010,148.5,189.3400,186.37,187.11,0,181.91,182.66,0,0,0,0,178.94,179.69,0,178.2,178.94,0,175.97,176.72,0,175.23,175.97,0,0
SRN-ONP-001,"OnePlus One A0001 LCD and Touch Screen Digitizer Assembly Black",130,21.13,28.5900,28.18,28.38,0,27.06,27.36,0,0,0,0,26.75,26.95,0,26.55,26.75,0,26.19,26.39,0,26.04,26.14,0,0
